Joueur : Augustin RENAUD 1936-07-20 15:41:31 contract_id : [Contract] id : 24358e7d-f32d-46e8-9ba0-a444dea44d7d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : fe314a2c-1613-4d2b-84a0-c0e666d0d6e8 | id_club : 0
Joueur : Hildebrand WOLFF 1950-09-30 17:47:51 contract_id : [Contract] id : 7deee17c-3c87-4117-a8ba-e98238c3f584 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 6a54d19f-64d6-4a1b-af43-4871bc05f532 | id_club : 2
Joueur : Papillion MARTY 1947-04-26 02:33:20 contract_id : [Contract] id : 9c711fab-8761-4029-b274-695ad0ea6bb4 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 98bad4a5-a6d9-4aad-b88a-777d2171b170 | id_club : 3
Joueur : Joachim BOURGEOIS 1937-08-29 05:04:26 contract_id : [Contract] id : 3ac63489-e919-457e-85e3-11c5b5fead8d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 0e4624ae-f882-4e69-b869-015674033c65 | id_club : 3
Joueur : Vivien LUCAS 1952-01-24 17:10:40 contract_id : [Contract] id : e18c12e1-a510-4e9d-8a0c-b4ea6e54211b | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f9d79c16-a0c4-4b21-ab6a-5263dd3100f0 | id_club : 3
Joueur : José ACOSTA 1939-02-10 12:59:55 contract_id : [Contract] id : 67270024-3fcd-4cab-b19f-627af8826f92 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 5b18bec3-7e48-4fc1-9156-90ad5f5b5c79 | id_club : 3
Joueur : Awotwi KABASELE 1938-01-19 15:39:29 contract_id : [Contract] id : 20543f03-390e-43d9-883b-a61ffcded9df | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b9ef61d1-2a79-4521-a0de-5b70d7460179 | id_club : 4
Joueur : Antoine GROS 1939-08-14 11:31:17 contract_id : [Contract] id : b550166e-cf3e-49c1-b703-0f4b814ac1c7 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 34dd1fa6-5a30-4ad3-9033-29e70dbd134e | id_club : 4
Joueur : Alexandre BERTIN 1941-04-15 19:53:07 contract_id : [Contract] id : aeba7f7c-4450-4499-bbb8-e1af52cd9384 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 59ab75b6-6760-4d80-a400-8ba7a905004b | id_club : 4
Joueur : Otto BERG 1937-09-23 18:35:39 contract_id : [Contract] id : 5f9056c3-03db-4f9e-90a0-489d7a3ccdbd | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : d3ca0cc0-bc46-4055-9bf5-a04e51ff406d | id_club : 4
Joueur : Babatunde TSHIBUABUA 1944-02-26 16:16:29 contract_id : [Contract] id : 99df72d1-cb71-4537-a59f-66e8f32c6fe2 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 84785f18-0726-40ba-bf7d-6ab89817a291 | id_club : 5
Joueur : Hakeem AHMED 1938-08-28 08:38:31 contract_id : [Contract] id : c14a2e21-4096-41e3-b220-07b4aba26489 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : ff82f94d-898f-4ebe-a6c9-c77ecbf41e1d | id_club : 5
Joueur : Édouard THOMAS 1948-04-09 21:01:55 contract_id : [Contract] id : 2e1c7f7b-f10f-4d30-90c6-a5936c738be8 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 268359b1-891a-48b8-b78a-73734a993b3c | id_club : 5
Joueur : Étienne MULLER 1945-11-20 21:48:35 contract_id : [Contract] id : 5151c46c-d9bc-4b7f-861f-8dca9383f3bd | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 47453297-d476-4f42-8840-29ee41981380 | id_club : 5
Joueur : Baako NTAMBUE 1935-05-11 13:52:48 contract_id : [Contract] id : a9899c8b-2d12-4aa9-836d-3aa1e275f989 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e730f0a6-1a61-4c8a-93fc-a4dca56237d5 | id_club : 6
Joueur : Martin SAEZ 1944-02-11 18:11:14 contract_id : [Contract] id : 7b01cc76-6872-4118-ad3e-587ab159856b | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b6787db8-efe5-406f-b9ea-74fdeba1f550 | id_club : 6
Joueur : Abel MEYER 1937-06-20 17:51:32 contract_id : [Contract] id : 18d1c0e5-74cf-434e-b41f-263cd85defe7 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 92c23c52-75bf-4fe1-9109-4ea05102e08e | id_club : 6
Joueur : Justin ADAM 1947-08-29 17:47:44 contract_id : [Contract] id : c19d9a09-d86e-41ca-a3b4-680094812d82 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b587a390-dd44-4b1b-8004-87b84d608464 | id_club : 6
Joueur : Santo BIANCO 1935-06-13 02:37:31 contract_id : [Contract] id : 3ee558b8-488d-4eec-bd3f-e00cd8bf945f | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : db065027-df7a-4e28-9b07-c185bbb973ee | id_club : 7
Joueur : Raymond ROGERS 1937-06-09 17:36:17 contract_id : [Contract] id : 6c7e894f-16ea-435c-aa35-fa796066bb6c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : d7a32bfa-3566-427e-b0f7-2e05b7420899 | id_club : 7
Joueur : Désiré BRUN 1948-05-20 23:01:57 contract_id : [Contract] id : 71ad1248-2a40-47db-adb5-f192f81c3015 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f4091dab-ca10-496f-8d60-34028a52a755 | id_club : 7
Joueur : Fabrice DA SILVA 1952-10-10 12:40:45 contract_id : [Contract] id : ef372f6a-129c-43b3-9e7e-07f524b5bdcd | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : d1f5a713-af3f-4a56-8e0d-cd24808dbe7d | id_club : 7
Joueur : Adisa YAV 1941-10-15 03:35:50 contract_id : [Contract] id : e17aae58-bd36-430d-8281-98e215792f93 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b42087b8-82f6-4527-930a-fee52124fb51 | id_club : 8
Joueur : Noël RENARD 1941-05-16 02:21:36 contract_id : [Contract] id : d6edd672-e7ce-4ef7-af66-736ac437be26 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f31bcc74-579a-4c6a-8e48-fadd4d87d18f | id_club : 8
Joueur : Constant GUILLAUME 1946-05-13 06:46:59 contract_id : [Contract] id : c9ea388c-0a42-43cd-b54a-95d82eb59e1c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 9b5b8bb9-6340-49fb-aefb-cf65bd71ef56 | id_club : 8
Joueur : Cyrille AUBRY 1937-08-28 08:24:42 contract_id : [Contract] id : 45f75b98-654e-42ba-977a-cdf6d651c12c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 65a5dfe7-160f-4615-b67d-42ab8a8f1c4d | id_club : 8
Joueur : Daniel RIEDEL 1952-04-07 01:01:58 contract_id : [Contract] id : 6ec56854-c1b1-4ddd-af61-264788b57961 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 757e1729-dc0a-497f-9661-bafd4d68dd08 | id_club : 9
Joueur : Parvaiz SALEH 1941-03-28 03:19:15 contract_id : [Contract] id : 2fa23694-91cb-4b20-8416-c31b576e5db8 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 97e95901-edc6-4525-988b-d102db289e05 | id_club : 9
Joueur : Luciano GUILLEN 1944-07-02 00:42:33 contract_id : [Contract] id : 9eab36df-664a-4350-94bf-73372513a713 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 0c19995a-e220-4595-8c66-bf71b465d719 | id_club : 9
Joueur : Bastian BRINKMANN 1945-12-27 16:57:08 contract_id : [Contract] id : 617cf9bb-bb93-45f6-9b42-3a693ee769a1 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 94153ef6-673d-4270-b5ab-8138cced72af | id_club : 9
Joueur : Xavier THOMAS 1939-09-18 09:53:02 contract_id : [Contract] id : d6570020-d564-43b9-93ec-5933e50717be | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 3a38bddd-5dfa-4f66-a0c9-e3d0125ffef1 | id_club : 10
Joueur : Tommy HENDERSON 1947-07-08 02:07:51 contract_id : [Contract] id : 2ebd76f9-1d80-4474-9c26-5b0e43be648b | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 678b36b2-54cc-4269-ac6b-82a38912b974 | id_club : 10
Joueur : Albert MITCHELL 1939-08-28 04:28:08 contract_id : [Contract] id : b673e197-d287-4291-aa99-3126a2855cd3 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b2758966-2283-4fc3-8c33-4247d50cbccb | id_club : 10
Joueur : Teofilo BASILE 1943-08-28 22:17:46 contract_id : [Contract] id : 46ed7ca9-d436-4035-a473-35c56ae17d2d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 09e87222-6b6d-413f-bc3b-fddeb1f8c2da | id_club : 10
Joueur : Italo FARINA 1951-03-10 10:28:41 contract_id : [Contract] id : 61bc3033-2b97-4492-be57-466b2bc5f030 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e0d93573-a7e5-4a20-9773-bb4a7e324f37 | id_club : 11
Joueur : Célestin BERTRAND 1944-10-06 19:21:22 contract_id : [Contract] id : bc6f8ae1-6cc9-4f70-85e6-dd87b132193a | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : dc1d7d37-2c7a-4307-a858-e551b9302c16 | id_club : 11
Joueur : Ahmad KHALIL 1935-07-04 07:17:03 contract_id : [Contract] id : a680da69-5959-429c-ae84-1946163aaee4 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 6e7c6043-55c5-462e-bb78-bb613fb477c2 | id_club : 11
Joueur : Gratien COLLIN 1938-04-05 05:15:34 contract_id : [Contract] id : d68e6398-58f8-444a-9c80-0e55ad9a1198 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e724c2c8-4066-44c6-ae25-f9952ace69f1 | id_club : 11
Joueur : Christian JAHN 1946-09-05 13:29:23 contract_id : [Contract] id : a7549969-b3d1-4190-b828-fcd3097371a4 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f679c941-88f9-495f-8123-4e8f30a5f56e | id_club : 12
Joueur : Lee ROSS 1947-01-06 04:07:53 contract_id : [Contract] id : 8296495a-a96a-415d-8612-84d086317dee | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : fe06cd19-2752-4f96-9c19-2e6b2948fc2b | id_club : 12
Joueur : Théophile GARCIA 1947-04-15 07:34:10 contract_id : [Contract] id : e00886d7-4481-4ca1-b221-895c048e1226 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 892f3ba3-154b-48ea-81b2-0df5e7803e3f | id_club : 12
Joueur : Fiacre ARNAUD 1942-12-04 14:25:50 contract_id : [Contract] id : 2f512028-7b60-43e6-ac3d-50cc09770e17 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 2df8ff1d-8845-46ef-97fe-7bfe450f8a4d | id_club : 12
Joueur : Donat RUIZ 1948-07-25 15:41:47 contract_id : [Contract] id : 0417e352-6d71-4004-ab9b-ac70871168c5 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 54a124a9-f6aa-43c7-afc0-5bef0316b064 | id_club : 13
Joueur : Brad HOLLAND 1938-05-20 12:56:55 contract_id : [Contract] id : 5d58447f-8be8-4803-9e64-959bd8e37d41 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 5a39213a-00e6-4052-9203-41db5e0a0a71 | id_club : 13
Joueur : Dorian CHAMBERS 1948-07-27 11:53:18 contract_id : [Contract] id : 905d5346-d6c6-4149-8e67-1cb8fac101d6 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 0c42cea4-d0dc-4f0f-95cc-7a22eed391ad | id_club : 13
Joueur : Jérémie SCHNEIDER 1950-02-21 09:46:30 contract_id : [Contract] id : 2c3c6193-74dd-46ee-ad0b-d20ce73c1470 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 61d84abe-b565-46cd-b6ec-3798f864a204 | id_club : 13
Joueur : Bruno WOLFF 1950-02-07 03:11:46 contract_id : [Contract] id : 921bb4bb-3701-4ca7-821a-9928ac16f683 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : da08b518-6a8b-4a11-bbb4-5d81a1b5ebcf | id_club : 14
Joueur : Kwame MAKONGA 1935-01-23 03:43:56 contract_id : [Contract] id : f20727e4-322c-43bf-a55c-15ad4e882920 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : a8cd8af5-2b31-4394-aa95-65f65c8aa76b | id_club : 14
Joueur : Benoît FERNANDEZ 1940-03-26 19:17:54 contract_id : [Contract] id : aea7c104-d383-482d-876c-462c71f12a2a | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 4d7e9e8b-0f02-4cea-b98a-e64c99be2ae3 | id_club : 14
Joueur : Georgie HARDY 1951-03-10 20:09:24 contract_id : [Contract] id : 0632ed4b-73da-44a4-ba20-cfe88a450ccb | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : a1215234-38b3-4d09-bb7b-6de342113605 | id_club : 14
Joueur : Matteo LONGO 1935-06-21 04:24:43 contract_id : [Contract] id : 05a9e117-e62b-4928-a568-6d9999e6ecda | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 2fc748ad-fd2e-444d-a964-ebf0d31a23c7 | id_club : 15
Joueur : Cyrille LE ROUX 1937-06-16 14:01:38 contract_id : [Contract] id : 3b0cbcd2-005d-408b-ab04-62285c5236e0 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : bfcc38c0-c57e-47d1-92cb-bfabc4381256 | id_club : 15
Joueur : Aristide MARTY 1949-03-11 06:08:15 contract_id : [Contract] id : 290d0fbf-2144-4a02-8d1c-4a850d4f075b | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 46810049-6665-4ed5-9f98-b4fd0e939d68 | id_club : 15
Joueur : Kwame MASENGO 1936-09-10 14:27:54 contract_id : [Contract] id : 740795a9-f620-417e-b249-c834d8f829a1 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 18a0603e-62c3-4160-9c18-572dd3b17442 | id_club : 15
Joueur : James MORRIS 1945-05-09 21:23:59 contract_id : [Contract] id : 14f6a68f-902c-4697-9045-7fbd6e26f289 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 6be25530-b0d1-47eb-963a-f20c4d9dace2 | id_club : 16
Joueur : Estachio TREVISAN 1941-01-21 15:31:15 contract_id : [Contract] id : aef77ea8-38eb-4b16-9613-8e2f6c6c08a2 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 4d26b2b2-8d2d-4492-adf2-1fdb2269d3ae | id_club : 16
Joueur : Olive TAYLOR 1949-08-27 23:38:58 contract_id : [Contract] id : 571c12c2-ae07-433c-b87f-344973594c08 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 7d5546bc-0373-4fe3-b14f-41273c276d4d | id_club : 16
Joueur : Louis LEFEVRE 1936-05-25 04:24:07 contract_id : [Contract] id : d5f5ca35-64f1-4012-8fa0-8e65e3ad353c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 750a542e-4c22-4b7b-a69b-7d6edde36c9e | id_club : 16
Joueur : Ghislain LUCAS 1935-10-11 02:30:35 contract_id : [Contract] id : 34ed15b3-9601-4aa1-bccc-e3df55d655d0 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f810d6ec-4bb4-4a46-80f5-87170c05010b | id_club : 17
Joueur : Amato RUGGIERO 1951-01-07 19:09:40 contract_id : [Contract] id : c68634c1-a9b2-4133-ab50-626914ff3e57 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 944d131e-9e63-40df-8581-9274c09a9b67 | id_club : 17
Joueur : Idowu MPUTU 1948-08-11 13:42:50 contract_id : [Contract] id : abe5b5a9-9356-4467-b14c-ea272cc583af | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f0f4a86a-955c-4694-b479-ae2df2af019c | id_club : 17
Joueur : Aurele REYNAUD 1942-12-20 02:10:23 contract_id : [Contract] id : 3213c957-c5cd-44f5-898c-2656d1df6526 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : ed1258c5-a6d2-4b77-99d6-a4afff7e7f33 | id_club : 17
Joueur : Orazio MORELLI 1944-03-28 22:33:09 contract_id : [Contract] id : e30687a2-b8f3-447e-b293-1fe78b518082 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 2d9d2e14-e050-4943-86bf-4b7ed0ce74db | id_club : 18
Joueur : Thierry GIRAUD 1951-10-22 04:31:34 contract_id : [Contract] id : 1a59ebc1-3314-491e-925b-c9e96828d943 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : a8bd580f-7685-4a7e-9230-774dfad254fd | id_club : 18
Joueur : Arnaldo SARTORI 1940-08-07 03:12:48 contract_id : [Contract] id : cfbb047e-108d-4fbe-9103-40d3300a1eb7 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 877590ba-1365-4482-ae0c-7f75e98fdeb5 | id_club : 18
Joueur : Aurele DESCHAMPS 1951-05-26 14:11:19 contract_id : [Contract] id : 61e11b54-0325-4bc4-b9f1-d499c06b237c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 1ccbcafa-aec4-4371-a72e-c95bbec80bb3 | id_club : 18
Joueur : Colombain LANGLOIS 1937-12-21 10:10:03 contract_id : [Contract] id : eec89c9b-5019-437d-b7b1-ce7441b232eb | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 8ca9627d-e1cf-4588-b972-b24df9d3380d | id_club : 19
Joueur : Baqir IBRAHIM 1944-07-14 19:00:06 contract_id : [Contract] id : 847d6f02-824d-465a-80fd-57a7ca2cb21f | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : d84b66e0-0947-4f2e-927c-69663857274c | id_club : 19
Joueur : Kwaku MISENGA 1948-08-01 09:20:16 contract_id : [Contract] id : 44c3d13a-75ec-4876-b6ef-fc8dc84eddc3 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 77300c8a-f0b5-480d-9fed-86a1e580dc2d | id_club : 19
Joueur : Marcello D'ANGELO 1947-07-26 01:41:31 contract_id : [Contract] id : afca2ff8-3dc5-4dd3-8836-80c468047202 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e1cd19fa-8a31-437d-b661-2ad7a608e94b | id_club : 19
Joueur : Sieghard BRUNS 1936-02-14 01:58:52 contract_id : [Contract] id : 02822f8d-ba67-49bb-a585-8a17bd4a97f1 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 2e8654e3-fd52-40ed-958e-b3af0498668e | id_club : 20
Joueur : Severo NUÑEZ 1941-12-05 14:14:21 contract_id : [Contract] id : 9fd87f79-3ae9-43ef-a23d-3f118b32f5f1 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 7a64ea31-43ec-4587-bf03-941794152fc6 | id_club : 20
Joueur : Anas SHALABY 1936-10-11 12:07:34 contract_id : [Contract] id : 27c43357-4d3d-41a2-b2a4-c7e3bcfb73e4 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 1bceb8e5-561a-4d90-879e-47e56baad3ea | id_club : 20
Joueur : Derick GILL 1936-02-28 21:08:28 contract_id : [Contract] id : 19ed40f3-f6ac-46e4-a6b9-9e740d915dc0 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : da7f2df2-0b45-4c72-acdf-6e0fd57be270 | id_club : 20
Joueur : Jo STEVENS 1942-08-17 11:35:52 contract_id : [Contract] id : 5ed4c854-4acb-4e38-8d96-fb09323ce6e8 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 67536892-7af2-4cce-8a18-7a55fd4de9b3 | id_club : 21
Joueur : Terrence PEARCE 1937-09-20 13:33:09 contract_id : [Contract] id : 7b22ef7d-4e47-41da-a811-25b10106a676 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : ee8b90af-236b-40a2-ad9b-15c3ace01fe7 | id_club : 21
Joueur : Eliott BIRD 1938-05-16 02:38:59 contract_id : [Contract] id : 1bc20984-8b33-457c-aa3d-9f2934824ae6 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 06535c4c-e8e5-4b52-8fe1-77651160320d | id_club : 21
Joueur : Lee NICHOLLS 1945-06-23 22:42:55 contract_id : [Contract] id : 005597ad-451a-4034-afab-8c8d4ef146c2 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f8aea631-6fc1-4452-9b42-ebe8f8e9ce5c | id_club : 21
Joueur : Wilfred RICHARDSON 1942-02-03 12:31:03 contract_id : [Contract] id : 3bddfa31-1daf-45a0-9573-95c8f89a93a8 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 47f30f68-93ae-402e-a387-99c56a81c22a | id_club : 22
Joueur : Cleo MORRIS 1940-10-27 19:12:58 contract_id : [Contract] id : 08c3d1bc-d772-48c1-a28e-54e9b288f62a | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : af6d31a8-58d5-4c84-8072-e4585b40d7b5 | id_club : 22
Joueur : Ernest HARDING 1940-08-11 11:38:59 contract_id : [Contract] id : 843c65fc-9f4e-4e2d-8aae-de5372712b10 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e991bd8b-a2dc-4c35-bf43-cf9cf72dd02a | id_club : 22
Joueur : Lloyd MOORE 1940-09-02 20:06:05 contract_id : [Contract] id : b5ff6ca4-f497-46bc-8910-decc50c23875 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 6e689a21-a1d2-4dfe-a2ee-8057cfa3847a | id_club : 22
Joueur : Gerry PHILLIPS 1938-06-10 13:40:31 contract_id : [Contract] id : 5eebb415-0540-4179-9e6b-cc36ab59e676 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : cb488c1e-d74f-49a8-9169-3f0027daf64a | id_club : 23
Joueur : Xavier IBAÑEZ 1945-06-18 22:22:23 contract_id : [Contract] id : af5c5bc2-5e1c-452b-ad28-487dc1a1542d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : e249f398-70ab-4ea0-a754-ecbb13ea064a | id_club : 23
Joueur : Elmo VILLA 1937-01-20 22:23:27 contract_id : [Contract] id : 19cee0f5-8dbf-4b3c-9cb4-dad07cc54df0 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : daeeec1d-28d6-498f-ae15-42d7359c60bd | id_club : 23
Joueur : Nkosana SAFI 1943-09-26 03:02:34 contract_id : [Contract] id : fa2cf390-3162-4558-8bd1-a1409717088e | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 8db61f65-4a53-4e34-86bc-f3ac0fbef53c | id_club : 23
Joueur : Zayn DARWISH 1944-12-04 16:57:43 contract_id : [Contract] id : e9827237-d160-428c-bb91-d727fdf2c9fb | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 0bfd0cbd-0533-4b8a-bf85-fac369f850c5 | id_club : 24
Joueur : Ngozi SALUMU 1949-06-22 00:56:27 contract_id : [Contract] id : f580167e-31b2-491f-8e41-c3d0550ee96e | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : ef955807-1ae9-4217-ab39-21f1f3d5739a | id_club : 24
Joueur : Adisa YAV 1952-02-07 23:56:33 contract_id : [Contract] id : 225db58a-4464-44b3-816e-97458066d109 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 1885c4d1-dde7-45c4-aad3-0f67410b7975 | id_club : 24
Joueur : Jeremy MILLS 1939-06-09 01:28:08 contract_id : [Contract] id : ae37e094-8bd4-4756-b4ed-acda997d9ab1 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : bf9209a2-3558-4389-bf7b-aea7d2e17225 | id_club : 24
Joueur : Cleo MORGAN 1952-06-03 05:32:29 contract_id : [Contract] id : 672b1efd-5880-4779-b48f-15782685c355 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b9404b6b-4146-4b05-9d2a-5df30ffd1d5c | id_club : 25
Joueur : Max MATTHEWS 1943-12-07 06:55:28 contract_id : [Contract] id : b1f4339a-2cb2-4375-bea2-9f443eadfa97 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : c0650301-19b5-46a9-b6d0-848646892563 | id_club : 25
Joueur : Tau NTAMBUE 1943-05-26 09:37:24 contract_id : [Contract] id : 1f19618e-2852-44d5-a3a4-3c8c057273da | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 38d0857b-2981-4492-bb1a-698f2101893c | id_club : 25
Joueur : Mariel PHILLIPS 1949-03-20 09:28:10 contract_id : [Contract] id : fd31c58a-c45b-4f9a-b4f0-0c7f832a4067 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 4405b913-27ad-43f3-af6b-1b030ee418e7 | id_club : 25
